alpha_0,sigma_0,rho_0,eta_0,mu_0,lambda_0,phi_L_0,phi_H_0,alpha,sigma,rho,eta,mu,lambda,phi_L,phi_H,fit_rr,fit_wbr,fit_lbr,fit_sp,obj_val,tol
0.22,-0.5,-0.5,0.1,0.25,0.25,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,0.1,-0.5,0.1,0.25,0.25,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,0.1,-0.5,0.1,0.25,0.25,2.0,2.0,0.2918982684731858,0.3137187156901316,-0.693691704990357,0.1,0.5452796435642294,0.46026419149459363,1.9029759196484948,2.0,86.30644599834801,0.13598526621812548,0.11160880625909558,1.5174218506719805,1.8477390053974454,0.5
0.22,0.1,-0.5,0.1,0.25,0.25,2.0,2.0,0.2918982684731858,0.3137187156901316,-0.693691704990357,0.1,0.5452796435642294,0.46026419149459363,1.9029759196484948,2.0,86.30644599834801,0.13598526621812548,0.11160880625909558,1.5174218506719805,1.8477390053974454,0.5
0.22,0.5,-0.5,0.1,0.25,0.25,2.0,2.0,0.2912919688275334,0.7197412330410542,-0.43482792819980853,0.1,0.25595934436175294,0.3728898516756446,1.863395192893368,2.0,140.52033044900344,22.21951746177938,0.17423447983273072,189.0717961446783,5.125593785668617,0.5
0.22,-0.5,-1.0,0.1,0.25,0.25,2.0,2.0,0.2881093501360682,-1.380014690306611,-1.4396575642433649,0.1,0.37962218831081895,0.4953144626545761,4.068963118628716,2.0,840.1895632837451,171172.01909086443,0.9209879816566563,2.0174950015792158e6,12.280765444947521,0.5
0.22,0.1,-1.0,0.1,0.25,0.25,2.0,2.0,0.28948744704617146,0.26918841121143283,-0.691090934256985,0.1,0.6657933738636155,0.4672942382928673,0.09062260053117277,2.0,94.68667841233119,0.13195411143159474,0.11663436303302761,1.411544594639609,1.507357222728901,0.5
0.22,0.5,-1.0,0.1,0.25,0.25,2.0,2.0,0.29558859129234266,0.7231700983848743,-0.518736586336012,0.1,0.21104603979487513,0.36774373292551776,1.577390941856832,2.0,196.02480932928881,87.32714048297268,0.25896677586930117,757.8010383099758,6.136119745973365,0.5
0.22,-0.5,0.5,0.1,0.25,0.25,2.0,2.0,0.29176595866646216,-0.660474175812336,0.6490534109601458,0.1,0.43530491096623003,0.13887400246417853,0.9068641925946139,2.0,21.484086092453648,9.208152169539538,0.02820902923653117,128.51216636064328,-2.02983331335648,0.5
0.22,0.1,0.5,0.1,0.25,0.25,2.0,2.0,0.28713728542362604,0.27609993781572273,0.5186171712884543,0.1,0.5330320178896328,0.13642406477249006,1.461047589162963,2.0,8.84490256497257,0.5136637779001592,0.007708096508446135,6.977885046735231,1.5533493625752832,0.5
